DEPTH (m),O2 (mg/L)
13.2,4.03755783
13.2,4.03536
13.2,4.01489496
13.2,4.02141639
13.2,4.02123624
13.2,4.01666043
13.2,4.3153131
13.2,4.50818169
13.2,4.47532233
13.2,4.38481497
13.2,4.28785824
13.2,3.91001163
13.2,3.94330335
13.2,3.96398457
13.2,4.38319362
13.2,4.27265358
13.1,4.082199
13.1,4.04613297
13.1,4.03334232
13.1,4.01817369
13.1,4.01619204
13.1,4.05647358
13.1,4.06270677
13.1,3.97169499
13.1,4.16034807
13.1,4.14186468
13.1,4.1229129
13.1,4.01925459
13.1,4.00855368
13.1,4.03665708
13.1,4.26551964
13,4.09646688
13,4.07214663
13,4.06360752
13,4.00624776
13,3.99821307
13,4.02055167
13,4.02498336
13,4.04299836
13,4.00383375
13,4.04231379
13,4.22253585
13,4.22480574
13,4.22750799
13,3.98902542
13,3.99727629
13,4.54658967
13,4.50742506
13,4.50205659
13,4.48941006
13,3.79954365
13,4.39933506
13,4.39266951
13,4.38063549
13,4.36687203
13,4.32810375
13,4.30771077
13,3.95468883
13,3.98545845
13,3.99587112
13,4.02328995
13,4.3744023
13,4.38503115
13,4.3870128
13,4.33840833
13,3.95890434
13,3.98675553
12.9,4.10104269
12.9,4.0886844
12.9,4.00967061
12.9,4.00527495
12.9,3.99763659
12.9,4.02447894
12.9,4.01766927
12.9,4.18531686
12.9,4.19562144
12.9,4.16272605
12.9,4.02141639
12.9,4.32295146
12.9,4.32727506
12.9,4.39688502
12.9,4.00808529
12.9,4.36290873
12.9,3.97151484
12.9,4.03708944
12.8,4.05557283
12.8,4.03849461
12.8,4.02116418
12.8,4.01258904
12.8,4.03762989
12.8,4.01568762
12.8,4.04105274
12.8,4.22948964
12.8,4.22909331
12.8,4.16777025
12.8,4.32403236
12.8,4.53131295
12.8,3.80797467
12.8,4.39955124
12.8,4.38877827
12.8,4.30374747
12.8,4.33523769
12.8,4.34921733
12.8,4.3801671
12.7,4.11372525
12.7,4.10947371
12.7,4.10723985
12.7,4.01532732
12.7,4.00228446
12.7,4.06440018
12.7,4.05600519
12.7,4.04307042
12.7,4.03125258
12.7,4.03507176
12.7,4.21424895
12.7,4.22642709
12.7,4.05557283
12.7,4.29542454
12.7,4.31253879
12.7,2.84478468
12.7,4.55808324
12.7,4.50875817
12.7,3.79705758
12.7,3.81391962
12.7,4.30915197
12.7,4.34392092
12.7,4.36247637
12.7,4.34838864
12.7,3.97392885
12.7,4.04090862
12.7,4.09279182
12.7,4.0090581
12.7,4.06811127
12.7,4.09538598
12.6,4.09632276
12.6,4.21785195
12.6,4.22203143
12.6,4.07874012
12.6,2.82381522
12.6,4.57217097
12.6,4.28011179
12.6,4.32017715
12.6,4.34096646
12.5,4.11332892
12.5,4.11631941
12.5,4.02458703
12.5,3.99648363
12.5,4.00235652
12.5,4.10439348
